Date,Streamflow (obs),Tmax,Tmin,Tavg,Precip,StrQobs
1/1/1977,5.46,31.85,21.62,26.71,10.39,6.499584
2/1/1977,2.74,32.41,22.15,27.02,4.02,2.946048
3/1/1977,5.05,31.65,21.79,26.49,53.34,6.01152
4/1/1977,8.88,30.64,22.49,26.4,93.98,10.22976
5/1/1977,2.09,29.46,20.96,25.01,57.63,2.487936
6/1/1977,1.67,27.99,18.99,23.09,52.33,1.92384
7/1/1977,3.69,28.14,19.33,23.36,22.64,4.392576
8/1/1977,2.47,27.66,18.96,23.08,52.92,2.940288
9/1/1977,4.44,28.57,19.38,23.8,96.68,5.11488
10/1/1977,8.77,29.68,20.75,25.08,214.86,10.439808
11/1/1977,10.83,29.93,21.54,25.72,184.69,12.47616
12/1/1977,11.45,30.29,21.49,25.71,124.78,13.63008
1/1/1978,5,30.91,21.35,25.79,64.79,5.952
2/1/1978,3.86,31.78,22.06,26.58,7.67,4.150272
3/1/1978,7.02,31.44,22.27,26.71,121.42,8.356608
4/1/1978,6.78,29.79,21.72,25.62,183.3,7.81056
5/1/1978,9.22,28.74,20.49,24.31,145.56,10.975488
6/1/1978,2.36,28.3,20.27,23.98,67.28,2.71872
7/1/1978,1.71,26.85,19.03,22.59,35.71,2.035584
8/1/1978,1.37,27.99,19.19,23.31,28.55,1.630848
9/1/1978,1.39,29.42,19.42,24.2,30.21,1.60128
10/1/1978,0,30.27,20.42,25.28,46.79,0
11/1/1978,6.37,30.09,21.2,25.58,189.32,7.33824
12/1/1978,7.32,29.41,21.15,25.17,219.41,8.713728
1/1/1979,4.76,31.25,21.86,26.28,180.3,5.666304
2/1/1979,3.41,31.61,22.09,26.48,44.73,3.666432
3/1/1979,6.32,32.22,22.29,27.09,109.52,7.523328
4/1/1979,4.13,30.68,21.48,25.82,138.8,4.75776
5/1/1979,8.51,28,20.81,24.28,258.78,10.130304
6/1/1979,8.22,27.52,19.02,22.9,67.06,9.46944
7/1/1979,2.01,26.96,18.61,22.42,48.94,2.392704
8/1/1979,1.77,27.71,18.93,22.96,19.36,2.107008
9/1/1979,1.81,28.66,19.25,23.7,50.9,2.08512
10/1/1979,1.94,30.17,20.19,25.1,23.03,2.309376
11/1/1979,4.53,31.02,21.71,26.25,77.4,5.21856
12/1/1979,2.75,31.57,21.92,26.6,89.87,3.2736
1/1/1980,1.78,31.9,21.71,26.42,8.4,2.118912
2/1/1980,1.5,33.06,22.17,27.25,7.97,1.6704
3/1/1980,1.7,33.34,22.11,27.43,13.39,2.02368
4/1/1980,3.35,32.26,22.73,27.26,39.17,3.8592
5/1/1980,1.85,30.31,22.45,26.06,49.79,2.20224
6/1/1980,1.36,29.1,19.6,23.88,25.18,1.56672
7/1/1980,2.4,27.72,19.46,23.27,39.06,2.85696
8/1/1980,16.75,26.88,19.21,22.77,132.79,19.9392
9/1/1980,1.75,28.9,19.31,23.9,29.34,2.016
10/1/1980,0.42,30.77,20.05,25.28,7.28,0.499968
11/1/1980,6.37,31.59,22.05,26.59,84.71,7.33824
12/1/1980,5.98,32.11,22.86,27.32,35.44,7.118592
1/1/1981,1.81,33.26,22.14,27.39,18.19,2.154624
2/1/1981,0,33.04,22.21,27.21,0.22,0
3/1/1981,14.26,32.23,22.32,27,293.98,16.975104
4/1/1981,6.77,30.22,21.14,25.6,89.36,7.79904
5/1/1981,3.12,27.98,20.37,23.95,87.37,3.714048
6/1/1981,2.43,28.33,19.73,23.6,34.5,2.79936
7/1/1981,1.49,27.23,18.81,22.73,26.64,1.773696
8/1/1981,0.69,27.65,19.02,23.07,71.2,0.821376
9/1/1981,2.76,28.46,18.91,23.5,32.72,3.17952
10/1/1981,3.73,30.09,20.34,25.05,82.41,4.440192
11/1/1981,3.68,31.64,20.99,26.15,47.47,4.23936
12/1/1981,5.32,30.98,22.09,26.39,144.37,6.332928
1/1/1982,1.94,32.13,21.77,26.71,3.82,2.309376
2/1/1982,1.19,32.88,21.92,26.91,0.01,1.279488
3/1/1982,0.02,32.95,21.62,26.97,77.38,0.023808
4/1/1982,4.06,30.16,21.16,25.45,152.79,4.67712
5/1/1982,20.33,28.12,20.76,24.18,337.56,24.200832
6/1/1982,3.18,27.72,19.62,23.3,53.99,3.66336
7/1/1982,2.9,26.68,18.72,22.39,80.81,3.45216
8/1/1982,1.73,26.8,18.11,22.13,23.78,2.059392
9/1/1982,1.73,27.42,18.06,22.51,57.89,1.99296
10/1/1982,4.19,28.67,20.02,24.15,151.12,4.987776
11/1/1982,3.76,30.5,21.42,25.85,110.4,4.33152
12/1/1982,4.87,31.03,21.76,26.21,99.74,5.797248
1/1/1983,1.04,32.35,22.07,26.84,1.88,1.238016
2/1/1983,0,33.03,22.83,27.45,33.35,0
3/1/1983,3.5,31.98,23.42,27.5,16.98,4.1664
4/1/1983,2.34,31.89,23.24,27.26,76.45,2.69568
5/1/1983,5.99,29.09,21.71,25.15,349.24,7.130496
6/1/1983,4.59,29.28,21.44,25,83.41,5.28768
7/1/1983,2.11,28.23,19.83,23.8,63.73,2.511744
8/1/1983,1.53,27.68,19.54,23.36,20.43,1.821312
9/1/1983,1.95,28.69,19.32,23.8,43.81,2.2464
10/1/1983,1.09,30.5,20.28,25.31,15.68,1.297536
11/1/1983,0.97,31.48,20.88,26.08,30.82,1.11744
12/1/1983,1.56,31.51,22.37,26.8,41.08,1.857024
1/1/1984,1.32,31.86,21.55,26.45,0.8,1.571328
2/1/1984,0,32.17,21.43,26.38,0.06,0
3/1/1984,1.6,32.55,22.23,27.16,16.28,1.90464
4/1/1984,6.77,31.31,22.31,26.67,231.07,7.79904
5/1/1984,3.47,29.28,21.21,25.02,121.23,4.130688
6/1/1984,1.82,27.52,19.73,23.27,97.84,2.09664
7/1/1984,1.78,27,19.19,22.78,47.45,2.118912
8/1/1984,0.74,26.85,18.85,22.56,11.46,0.880896
9/1/1984,0.75,28.38,19.11,23.52,26.93,0.864
10/1/1984,1.58,29.01,20.11,24.48,135.65,1.880832
11/1/1984,6.28,28.83,20.27,24.44,132.1,7.23456
12/1/1984,4.06,29.68,20.85,25.18,104.03,4.833024
1/1/1985,3.52,31.46,21.44,26.21,5.51,4.190208
2/1/1985,4.56,31.49,22.02,26.48,49.64,4.902912
3/1/1985,1.3,31.81,21.16,26.3,26.9,1.54752
4/1/1985,2.18,31.07,21.87,26.2,201.82,2.51136
5/1/1985,5.24,28.76,21.38,24.8,135.04,6.237696
6/1/1985,1.06,28.19,19.79,23.61,18.69,1.22112
7/1/1985,3.78,27.27,19.17,22.9,61.34,4.499712
8/1/1985,1.84,27.52,19.05,23.04,26.12,2.190336
9/1/1985,0.75,28.35,19.39,23.6,20.4,0.864
10/1/1985,0.69,29.74,20.09,24.68,19.52,0.821376
11/1/1985,2.99,30.35,22.07,26.15,122.15,3.44448
12/1/1985,3.8,31.14,21.99,26.31,92.18,4.52352
1/1/1986,1.3,32.15,21.36,26.34,14.06,1.54752
2/1/1986,1.26,32.29,21.21,26.41,0.88,1.354752
3/1/1986,5.42,32.61,21.81,27.07,32.63,6.451968
4/1/1986,6.75,30.6,22.14,26.02,209.2,7.776
5/1/1986,11.08,28.65,21.15,24.56,233.65,13.189632
6/1/1986,5.65,28.2,20,23.78,17.39,6.5088
7/1/1986,1.32,27.59,18.54,22.77,12.49,1.571328
8/1/1986,1.5,28.02,18.35,22.87,37.13,1.7856
9/1/1986,0,29.07,19.04,23.8,18.79,0
10/1/1986,1.5,30.84,20.55,25.58,22.81,1.7856
11/1/1986,4.88,31.12,21.84,26.35,59.03,5.62176
12/1/1986,6.09,30.09,21.25,25.57,161.47,7.249536
1/1/1987,2.65,32.02,22.09,26.82,22.52,3.15456
2/1/1987,1.02,32.56,21.92,26.81,0.52,1.096704
3/1/1987,0,33.54,22.53,27.8,2,0
4/1/1987,3.88,32.18,22.58,27.13,99.21,4.46976
5/1/1987,12.18,29.46,21.88,25.43,193.18,14.499072
6/1/1987,1.75,28.61,20.24,24,19.37,2.016
7/1/1987,1.65,27.68,18.95,22.99,59.3,1.96416
8/1/1987,2.75,27.62,19.82,23.48,105.04,3.2736
9/1/1987,1.51,29.38,19.7,24.32,26.52,1.73952
10/1/1987,1.8,30.49,20.82,25.52,16.54,2.14272
11/1/1987,0.51,30.7,20.86,25.66,28.71,0.58752
12/1/1987,1.87,31.62,22.43,26.91,19.83,2.226048
1/1/1988,4.38,32.74,22.55,27.51,19.89,5.213952
2/1/1988,1.13,33.52,22.47,27.61,3.68,1.258368
3/1/1988,7.57,33.7,22.56,28.01,79.88,9.011328
4/1/1988,8.28,31.35,22.78,26.7,190.35,9.53856
5/1/1988,2.41,30.17,21.39,25.42,35.09,2.868864
6/1/1988,7.14,28.69,20.72,24.34,90.78,8.22528
7/1/1988,1.28,28.48,19.67,23.7,27.04,1.523712
8/1/1988,0.89,28.41,19.79,23.78,27.38,1.059456
9/1/1988,1.15,28.72,19.48,23.9,42.37,1.3248
10/1/1988,1.3,30.96,20.21,25.38,23.23,1.54752
11/1/1988,3.61,30.77,21.29,25.83,107.76,4.15872
12/1/1988,3.8,30.6,21.53,25.91,133.12,4.52352
1/1/1989,4.32,30.68,21.13,25.61,28.96,5.142528
2/1/1989,0,32.24,21.22,26.35,0.08,0
3/1/1989,3.86,32.71,21.99,26.97,89.48,4.594944
4/1/1989,4.46,30.63,21.07,25.71,111.08,5.13792
5/1/1989,4.76,29.03,20.6,24.36,97.31,5.666304
6/1/1989,1.97,28.02,19.62,23.41,38.05,2.26944
7/1/1989,0.94,27.93,19.1,23.1,33.11,1.118976
8/1/1989,0.94,27.06,18.77,22.6,42.67,1.118976
9/1/1989,4.2,28.84,19.28,23.8,27.8,4.8384
10/1/1989,5.8,29.72,19.99,24.67,81.73,6.90432
11/1/1989,2.61,30.08,20.59,25.12,148.6,3.00672
12/1/1989,3.63,30.17,21.17,25.54,121.87,4.321152
